date,day_of_week,start_time,end_time,location,speaker,affiliation,theme,track_x,recommended,time_for_row,orig_time_if_moved,is_moderator,has_room_conflict,is_general_event
November 18th,Tuesday,8:15 AM,8:45 AM,,Morning Prayer,,,,,8:15 AM,,False,False,True
November 18th,Tuesday,9:00 AM,12:10 PM,Copley Place - Fourth Floor: Hyannis,Paul Sanchez,Oklahoma Baptist University,Moderator,American Christianity,,9:00 AM,,True,False,
November 18th,Tuesday,9:00 AM,9:40 AM,Copley Place - Fourth Floor: Hyannis,John Wilsey,The Southern Baptist Theological Seminary,"Constitution or Creed in the Presbyterian Modernist Controversy, 1924-1926",American Christianity,False,9:00 AM,,False,False,
November 18th,Tuesday,9:40 AM,9:45 AM,Copley Place - Fourth Floor: Hyannis,Response: Miles Smith*,Hillsdale College,,American Christianity,,9:50 AM,9:40 AM,False,False,
November 18th,Tuesday,9:45 AM,10:25 AM,Copley Place - Fourth Floor: Hyannis,Miles Smith*,Hillsdale College,"Creeds, Confession, and the Idea of the Christian Nation",American Christianity,,9:50 AM,9:45 AM,False,False,
November 18th,Tuesday,10:25 AM,10:30 AM,Copley Place - Fourth Floor: Hyannis,Response: John Wilsey,The Southern Baptist Theological Seminary,,American Christianity,,10:40 AM,10:25 AM,False,False,
November 18th,Tuesday,10:40 AM,11:20 AM,Copley Place - Fourth Floor: Hyannis,Paul Helseth,University of Northwestern - St. Paul,"Samuel Miller, Confessional Orthodoxy, and 'The Littleness of Sectarian Bigotry'",American Christianity,False,10:40 AM,,False,False,
November 18th,Tuesday,11:20 AM,11:25 AM,Copley Place - Fourth Floor: Hyannis,Response: Kenneth Stewart,Covenant College,,American Christianity,,11:30 AM,11:20 AM,False,False,
November 18th,Tuesday,11:25 AM,12:05 PM,Copley Place - Fourth Floor: Hyannis,Kenneth Stewart,Covenant College,J. Gresham Machen (d. 1937): Among the Evangelicals?,American Christianity,False,11:30 AM,11:25 AM,False,False,
November 18th,Tuesday,12:05 PM,12:10 PM,Copley Place - Fourth Floor: Hyannis,Response: Paul Helseth,University of Northwestern - St. Paul,,American Christianity,,11:30 AM,12:05 PM,False,False,
November 18th,Tuesday,9:00 AM,9:40 AM,Copley Place - Fourth Floor: Falmouth,Matthew Pinson,Welch Divinity School,Arminian Baptist Confessionalism in America,Baptist Studies Group,False,9:00 AM,,False,False,
